,code,name,i_median,i_from,i_average,i_mean,i_to,code_status,subcategory
BRetm,BRetm,Stevi B's Pizza Buffet,0,0,0,0.002055,0.094429,live,Casual dining
BRetc,BRetc,Stihl,0,0,0,0.012263,0.48376,live,Tools
BRetp,BRetp,Stila,1.4652669999999999,0,1.4652669999999999,2.32276,31.291716,live,Beauty
BRetq,BRetq,STMicroelectronics,0,0,0,0.001501,0.088183,live,Cons electronics
BReto,BReto,Stockmann,0,0,0,0.023129,0.531208,live,Stores & shops
BRett,BRett,StockX,0.26586899999999997,0,0.26586899999999997,0.687848,14.35743,live,eCommerce
BRet1,BRet1,Stokke AS,0.105,0,0.105,0.327821,7.762253,live,Household prod
BRetu,BRetu,Stolichnaya,0.031314,0,0.031314,0.081735,1.225837,live,Alcohol
BRetw,BRetw,Stone Brewing Co.,0.099589,0,0.099589,0.509527,17.469311,live,Alcohol
BReti,BReti,Stone Island,0.156654,0,0.156654,0.46652000000000005,11.305638,live,Stores & shops
BRets,BRets,Stonegate Pub Company,0,0,0,0.000705,0.082034,live,Bars & Pubs
BRetz,BRetz,Stonyfield,0,0,0,0.069601,2.862477,live,Food
BReta,BReta,Stop & Shop,0,0,0,0.008104,0.267142,live,Supermarkets
BRet4,BRet4,Store No. 8,0,0,0,0.001174,0.08826099999999999,live,Prof services
BRet5,BRet5,Stowa,0,0,0,0.010100999999999999,0.34474299999999997,live,Watches
BReth,BReth,STP,0.055585999999999997,0,0.055585999999999997,0.14410299999999998,3.99568,live,Energy
BRet7,BRet7,Stradivarius,0.625377,0,0.625377,1.417432,20.619026,live,Clothing
BRet6,BRet6,Strange Invisible Perfumes,0,0,0,0.016677,0.465549,live,Beauty
BRet9,BRet9,Stratasys,0,0,0,0.016477,0.403429,live,Cons electronics
BRe1y,BRe1y,Strathberry,0,0,0,0.046999,1.1888429999999999,live,Bags
BRe1b,BRe1b,Strato AG,0,0,0,0.029602,1.598332,live,Technology
BRe1n,BRe1n,Strauss Group,0,0,0,0.007234,0.260417,live,Cafes
BRe1d,BRe1d,Strava,0.23649499999999998,0,0.23649499999999998,0.635848,33.69863,live,Software
BRe1r,BRe1r,Stream Energy,0,0,0,0.0018419999999999999,0.09066199999999999,live,Technology
BRe1f,BRe1f,Street Fighter,0,0,0,0.054343999999999996,1.56,live,Games
BRe1g,BRe1g,Street FX Motorsport,0.115607,0,0.115607,0.312289,8.027923,live,Auto services
BRe18,BRe18,Street Soccer,0,0,0,0.00719,0.22583599999999998,live,ORGs/Companies
BRe1e,BRe1e,Stripe,0,0,0,0.027960000000000002,0.745033,live,Software
BRe1j,BRe1j,Structube,0,0,0,0.13280799999999998,7.506297,live,Furniture
BRe1k,BRe1k,Strutt & Parker,0,0,0,0.010365,0.476002,live,Prof services
BRe1m,BRe1m,Stryker,0,0,0,0.000256,0.047015,live,Medicine
BRe1c,BRe1c,Stuart Weitzman,0.351535,0,0.351535,0.7038869999999999,8.660786,live,Shoes
BRe1p,BRe1p,Stubhub,0.021088,0,0.021088,0.133647,2.624894,live,Online services
BRe1x,BRe1x,Studio Bagel,0,0,0,0.091556,6.491803,live,Prof services
BRe1o,BRe1o,Studio McGee,0.14454,0,0.14454,0.8013079999999999,29.209825,live,Technology
BRe1t,BRe1t,Studio71,0,0,0,0.017839,0.32520299999999996,live,Entertainment
BRe11,BRe11,Stumptown Coffee Roasters,0.11515199999999999,0,0.11515199999999999,0.507385,13.106445,live,Cafes
