,code,name,i_median,i_from,i_average,i_mean,i_to,code_status,subcategory
MEbq6,MEbq6,2M,0,0,0,0.019247,0.6369429999999999,live,TV channels
MEbq9,MEbq9,6ter,0,0,0,0.003254,0.268817,live,TV channels
MEbxy,MEbxy,9GEEK,0,0,0,0.011977999999999999,0.289855,live,Blogs
MEbxb,MEbxb,AB Moteurs,0,0,0,0.0015049999999999998,0.12453299999999999,live,TV channels
MEbxn,MEbxn,AB3,0,0,0,0.015588999999999999,0.37537499999999996,live,TV channels
MEbxd,MEbxd,ABP Majha,0,0,0,0.0029219999999999997,0.16722399999999998,live,TV channels
MEbxr,MEbxr,Adnkronos,0,0,0,0.026684,1.467803,live,Online News
MEbxf,MEbxf,Adult Swim,0.3557,0,0.3557,0.9749669999999999,14.560597,live,TV channels
MEbxg,MEbxg,Aeon,0,0,0,0.050303999999999995,1.34821,live,Magazines
MEbx8,MEbx8,Afilias,0,0,0,0.004761,0.168492,live,Blogs
MEbxe,MEbxe,Africa 24,0,0,0,0.261246,16.44196,live,TV channels
MEbxj,MEbxj,AIT,0,0,0,0.023149,1.993459,live,TV channels
MEbxk,MEbxk,Africanews,0.034530000000000005,0,0.034530000000000005,0.264814,9.64497,live,TV channels
MEbxm,MEbxm,Agi Agenzia Italia,0,0,0,0.016517,0.998697,live,TV channels
MEbxc,MEbxc,Air1 Radio,0.034244,0,0.034244,0.127422,4.394531,live,Radio stations
MEbxp,MEbxp,Al Aoula,0,0,0,0.002005,0.126839,live,TV channels
MEbxq,MEbxq,Al Jadeed,0,0,0,0.014064,0.49261099999999997,live,TV channels
MEbxx,MEbxx,Al Sharqiya,0,0,0,0.000236,0.040420000000000005,live,TV channels
MEbxo,MEbxo,Al-Alam News Network,0,0,0,0.00033000000000000005,0.056084999999999996,live,TV channels
MEbxt,MEbxt,Alhurra,0,0,0,0.017192,0.647821,live,TV channels
MEbx1,MEbx1,Alo,0.383105,0,0.383105,0.8530209999999999,23.595858,live,Newspapers
MEbxu,MEbxu,Alouette,0,0,0,0.0011639999999999999,0.126904,live,Blogs
MEbxw,MEbxw,Alsumaria,0,0,0,0.010425,0.493963,live,TV channels
MEbxs,MEbxs,Anadolu Agency,0,0,0,0.019599,0.5704509999999999,live,Online News
MEbxz,MEbxz,Animal Planet,0.723098,0,0.723098,1.100509,8.619001,live,TV channels
MEbxa,MEbxa,ANT1,0,0,0,0.016826,0.3125,live,TV channels
MEbx3,MEbx3,Apartment Therapy,0.506029,0,0.506029,1.928736,31.119199,live,Blogs
MEbx4,MEbx4,Association for Progressive Communications,0,0,0,0.002025,0.097276,live,Newspapers
MEbx5,MEbx5,Arryadia,0,0,0,0.004031,0.222298,live,TV channels
MEbxh,MEbxh,Asahi Shimbun,0,0,0,0.0022069999999999998,0.10005000000000001,live,Newspapers
MEbx7,MEbx7,askanews,0,0,0,0.005586,0.37144699999999997,live,TV channels
MEbx6,MEbx6,At the Races,0,0,0,0.036957,2.2673959999999997,live,Online News
MEbx9,MEbx9,AutonetMagz,0,0,0,0.170065,8.500773,live,Magazines
MEboy,MEboy,BabyFirst,0.040757999999999996,0,0.040757999999999996,0.07427199999999999,0.845309,live,TV channels
MEbob,MEbob,BabyTV,0,0,0,0.014580999999999998,0.383632,live,TV channels
MEbon,MEbon,Backpacker,0.222222,0,0.222222,0.7167209999999999,19.334917,live,Magazines
MEbor,MEbor,Beautiful Destinations,3.75,0.19120499999999999,3.75,4.609472,25.046041,live,Blogs
MEbog,MEbog,Betches Media,2.060213,0,2.060213,3.536491,24.423077,live,Blogs
MEbo8,MEbo8,Beur fm,0,0,0,0.0011149999999999999,0.096899,live,Radio stations
MEboe,MEboe,Bike,0.112883,0,0.112883,0.342199,12.265967,live,Magazines
MEboj,MEboj,BlackAmericaWeb.com,0.022735,0,0.022735,0.298069,11.165524,live,Blogs
MEbok,MEbok,Blendle,0,0,0,0.001584,0.10940899999999999,live,Online News
MEbom,MEbom,Booz Allen Hamilton,0,0,0,0.010033,0.275862,live,Blogs
MEboc,MEboc,Bored Panda,0.23397099999999998,0,0.23397099999999998,0.5237109999999999,4.93537,live,Blogs
MEbop,MEbop,Bounce TV,0,0,0,0.197604,6.666667,live,TV channels
MEboq,MEboq,BoxNation,0,0,0,0.108863,3.64532,live,TV channels
MEbox,MEbox,Boylesports,0,0,0,0.009408,0.662617,live,Blogs
MEboo,MEboo,"Brain, Child",0,0,0,0.002544,0.155812,live,Magazines
MEbot,MEbot,British Vogue,1.4461600000000001,0,1.4461600000000001,2.660756,34.477297,live,Magazines
MEbo1,MEbo1,Bubba Atkinson,0,0,0,0.006421,0.19047599999999998,live,Blogs
MEbou,MEbou,Business News Network,0,0,0,0.009059,0.484713,live,TV channels
MEbow,MEbow,Business Wire,0,0,0,0.010145999999999999,0.268577,live,Online News
MEboi,MEboi,Buzzr,0,0,0,0.008888,0.263389,live,TV channels
MEbos,MEbos,Byrdie,0.170648,0,0.170648,0.486388,9.778672,live,Blogs
MEboz,MEboz,Cereal,0.28182199999999996,0,0.28182199999999996,1.254828,24.128181,live,Magazines
MEboa,MEboa,Cable Noticias,0,0,0,0.058124999999999996,2.732707,live,TV channels
MEbo3,MEbo3,Cadena COPE,0,0,0,0.028450000000000003,1.963701,live,Radio stations
MEbo4,MEbo4,Canal Capital,0,0,0,0.09042000000000001,6.17284,live,TV channels
MEbo5,MEbo5,Canal de la Ciudad,0,0,0,0.024304,2.252519,live,TV channels
MEboh,MEboh,Canal i,0,0,0,0.10182000000000001,7.112299,live,TV channels
MEbo6,MEbo6,Canal Star,0,0,0,0.005031,0.328407,live,TV channels
MEbo9,MEbo9,Canal Viva,0.018580000000000003,0,0.018580000000000003,0.42598199999999997,8.871851,live,TV channels
MEbty,MEbty,Cancam,0,0,0,0.012001999999999999,0.996205,live,Magazines
MEbtb,MEbtb,Car and Driver,0.163934,0,0.163934,0.36804899999999996,9.423135,live,Magazines
MEbtn,MEbtn,Caracol Television,0.05466000000000001,0,0.05466000000000001,0.697376,29.990119,live,TV channels
MEbtd,MEbtd,Cartoonito,0,0,0,0.00039099999999999996,0.054884999999999996,live,TV channels
MEbtr,MEbtr,Caterpillar Radio,0,0,0,0.03628,2.109375,live,Radio stations
MEbtf,MEbtf,CBeebies,0,0,0,0.036485,1.923077,live,TV channels
MEbtg,MEbtg,CC Clarke,0,0,0,0.006862999999999999,0.213675,live,Blogs
MEbt8,MEbt8,Rádio CBN,0,0,0,0.13095099999999998,3.776874,live,Radio stations
MEbte,MEbte,Channel 1,0.047399,0,0.047399,0.106733,1.527924,live,TV channels
MEbtj,MEbtj,Channel 9,0.014854,0,0.014854,0.112879,6.472616,live,TV channels
MEbtk,MEbtk,Channel 9 MCOT HD,0,0,0,0.002388,0.21881799999999998,live,TV channels
MEbtm,MEbtm,Channel Master,0,0,0,0.001438,0.093458,live,TV channels
MEbtc,MEbtc,Channels TV,0,0,0,0.273628,22.400804,live,TV channels
MEbtp,MEbtp,Chérie FM,0,0,0,0.005365,0.42613599999999996,live,Radio stations
MEbtq,MEbtq,Cinema Blend,0,0,0,0.038308999999999996,0.932203,live,Online News
MEbtx,MEbtx,Circuit of the Americas,0.061328,0,0.061328,0.19268000000000002,8.251953,live,Blogs
MEbto,MEbto,Citytv Bogota,0,0,0,0.181826,11.510204,live,TV channels
MEbtt,MEbtt,CliqueTV,0,0,0,0.08272399999999999,4.324028,live,TV channels
MEbt1,MEbt1,CNEWS,0,0,0,0.038799,1.828242,live,TV channels
MEbtu,MEbtu,CNW Group,0,0,0,0.0013469999999999999,0.11322499999999999,live,Online News
MEbtw,MEbtw,CoinDesk,0,0,0,0.052190999999999994,0.944882,live,Blogs
MEbti,MEbti,Complex,1.6474280000000001,0,1.6474280000000001,3.033472,33.564815,live,Magazines
MEbts,MEbts,Computerworld,0,0,0,0.028555999999999998,0.52071,live,Magazines
MEbtz,MEbtz,Contact FM,0,0,0,0.0019500000000000001,0.15842799999999999,live,Radio stations
MEbta,MEbta,Cooking Channel,0.21245000000000003,0,0.21245000000000003,0.55317,9.427415,live,TV channels
MEbt3,MEbt3,CPB,0,0,0,0.001812,0.09837699999999999,live,Radio stations
MEbt4,MEbt4,Country Living,0.331824,0,0.331824,1.292296,30.786904,live,Magazines
MEbt5,MEbt5,Cozi TV,0,0,0,0.007346,0.260191,live,TV channels
MEbth,MEbth,CP24,0,0,0,0.099954,4.724919,live,TV channels
MEbt7,MEbt7,CTV Television Network,0,0,0,0.064749,2.427,live,TV channels
MEbt6,MEbt6,Cumulus Media,0,0,0,0.0035529999999999997,0.244141,live,Radio stations
MEbt9,MEbt9,Cupcakes and Cashmere,0.160299,0,0.160299,0.5194259999999999,12,live,Blogs
MEb1y,MEb1y,D&B Hoovers,0,0,0,0.0027389999999999997,0.11248599999999999,live,Blogs
MEb1b,MEb1b,Daily Watch,0.879927,0,0.879927,1.195232,10.138249,live,Blogs
MEb1n,MEb1n,DD News,0,0,0,0.00875,0.390795,live,TV channels
MEb1d,MEb1d,Decor,0.737031,0,0.737031,1.191186,16.547335,live,Magazines
MEb1r,MEb1r,Delish,0.44374,0,0.44374,0.8552900000000001,8.2535,live,Blogs
MEb1f,MEb1f,Designboom,0.611873,0,0.611873,1.63772,32.590104,live,Magazines
MEb1g,MEb1g,Destination America,0,0,0,0.038701,0.7575759999999999,live,TV channels
MEb18,MEb18,Deutsche Welle,0,0,0,0.042505,0.7069909999999999,live,TV channels
MEb1e,MEb1e,Digital Trends,0.2785,0,0.2785,0.523338,5.435124,live,Online News
MEb1j,MEb1j,Discover Los Angeles,0.320719,0,0.320719,0.703897,8.421275,live,Blogs
MEb1k,MEb1k,Dlisted,0,0,0,0.0073679999999999995,0.268577,live,Blogs
MEb1m,MEb1m,DolarToday,0.11376599999999999,0,0.11376599999999999,1.249743,54.698243,live,Online News
MEb1p,MEb1p,Dozhd,0,0,0,0.003671,0.147384,live,TV channels
MEb1q,MEb1q,Dublin's 98FM,0,0,0,0.052426999999999994,2.440513,live,Radio stations
MEb1x,MEb1x,Dublin's Q102,0,0,0,0.010050000000000002,0.405445,live,Radio stations
MEb1o,MEb1o,E. W. Scripps Company,0,0,0,0.003623,0.189215,live,TV channels
MEb1t,MEb1t,E4,0,0,0,0.083433,2.5695930000000002,live,TV channels
MEb11,MEb11,Earth Vacations,0.542005,0,0.542005,0.786974,8.51419,live,Blogs
MEb1u,MEb1u,El Rey Network,0.040774,0,0.040774,0.116241,2.457897,live,TV channels
MEb1w,MEb1w,EQUIDIA,0,0,0,0.020048,1.6485729999999998,live,TV channels
MEb1i,MEb1i,Esporte Interativo,0,0,0,0.004437,0.20433199999999999,live,TV channels
MEb1s,MEb1s,ET Now,0,0,0,0.006586,0.274474,live,TV channels
MEb1z,MEb1z,ETV Network,0,0,0,0.038590000000000006,4.681275,live,TV channels
MEb13,MEb13,EW,1.008989,0,1.008989,1.667528,15.948553,live,Blogs
MEb14,MEb14,Fars News Agency,0,0,0,0.004431,0.19595,live,Online News
MEb15,MEb15,Fashion to Max,0,0,0,0.000388,0.059382,live,Magazines
MEb1h,MEb1h,Feral Audio,0,0,0,0.004987999999999999,0.210273,live,Radio stations
MEb17,MEb17,FG Radio,0,0,0,0.003085,0.161499,live,Radio stations
MEb16,MEb16,Fight Network,0,0,0,0.021349,0.791296,live,TV channels
MEb19,MEb19,Filmfare,0.08459499999999999,0,0.08459499999999999,0.203652,4.567541,live,Magazines
MEbuy,MEbuy,FIP,0,0,0,0.014627999999999999,0.696541,live,Radio stations
MEbub,MEbub,Fitt,0,0,0,0.041838,1.002255,live,Blogs
MEbun,MEbun,Flex,0.169815,0,0.169815,0.319374,5.215036,live,Magazines
MEbud,MEbud,FM802,0,0,0,0.003338,0.33264000000000005,live,Radio stations
MEbur,MEbur,For the win,0,0,0,0.024651,0.823193,live,Online News
MEbuf,MEbuf,Foundr,0.83725,0,0.83725,1.472334,18.805898,live,Magazines
MEbug,MEbug,France Bleu,0,0,0,0.008339,0.460829,live,Radio stations
MEbu8,MEbu8,France Culture,0,0,0,0.04105,1.971448,live,Online News
MEbue,MEbue,France info,0,0,0,0.064332,2.68418,live,Online News
MEbuj,MEbuj,France Inter,0,0,0,0.091262,4.470116,live,Radio stations
MEbuk,MEbuk,Free Code Camp,0,0,0,0.041988,0.728745,live,Blogs
MEbum,MEbum,Freeform,0.500317,0,0.500317,0.9533159999999999,13.609467,live,TV channels
MEbuc,MEbuc,FremantleMedia,0,0,0,0.008003,0.22189299999999998,live,TV channels
MEbup,MEbup,FuboTV,0,0,0,0.016277,0.290698,live,TV channels
MEbuq,MEbuq,Fuji TV,0,0,0,0.002241,0.108932,live,TV channels
MEbux,MEbux,Fun Radio,0,0,0,0.050476,3.335981,live,Radio stations
MEbuo,MEbuo,Funhaus,0,0,0,0.093762,2.262728,live,Blogs
MEbut,MEbut,Fusion TV,0.125313,0,0.125313,0.253586,3.531489,live,TV channels
MEbu1,MEbu1,FX,0.085143,0,0.085143,0.197283,3.184139,live,TV channels
MEbuw,MEbuw,Galatasaray TV,0,0,0,0.031818,0.742804,live,TV channels
MEbui,MEbui,Galway Bay FM,0,0,0,0.005493,0.381971,live,Radio stations
MEbus,MEbus,game one,0,0,0,0.019288,0.938086,live,TV channels
MEbuz,MEbuz,Game Show Network,0,0,0,0.022937,0.9589449999999999,live,TV channels
MEbua,MEbua,Gandi,0,0,0,0.000949,0.074019,live,Online News
MEbu3,MEbu3,Gannett Company,0,0,0,0.005823999999999999,0.223131,live,Online News
MEbu4,MEbu4,Geo News,0,0,0,0.0048059999999999995,0.192678,live,TV channels
MEbu5,MEbu5,Global News,0.023822,0,0.023822,0.09645899999999999,3.802589,live,TV channels
MEbuh,MEbuh,Global Television,0,0,0,0.038398,1.3125,live,TV channels
MEbu7,MEbu7,GMM 25,0,0,0,0.15900499999999998,13.668061,live,TV channels
MEbu6,MEbu6,Golf Channel,0.19419799999999998,0,0.19419799999999998,0.568685,24.272368,live,TV channels
MEbu9,MEbu9,Golf Digest,0.155461,0,0.155461,0.5431889999999999,25.512037,live,Magazines
MEbwy,MEbwy,Grupo Vocento,0,0,0,0.000874,0.092166,live,Newspapers
MEbwb,MEbwb,Gulli,0,0,0,0.004334,0.401808,live,TV channels
MEbwn,MEbwn,Halk TV,0,0,0,0.003604,0.145702,live,TV channels
MEbwd,MEbwd,Hallmark Channel,0.125313,0,0.125313,0.40241000000000005,7.890365,live,TV channels
MEbwr,MEbwr,Harajuku Japan,0.20036099999999998,0,0.20036099999999998,0.587634,15.518745,live,Online News
MEbwg,MEbwg,HDNet Movies,0,0,0,0.0012339999999999999,0.084317,live,TV channels
MEbw8,MEbw8,Healthline,0,0,0,0.010133999999999999,0.259312,live,Blogs
MEbwe,MEbwe,Hi-Fructose,0.431067,0,0.431067,1.48527,33.842538,live,Magazines
MEbwj,MEbwj,High Times,0.624522,0,0.624522,1.563772,44.527363,live,Magazines
MEbwk,MEbwk,Highlights,0,0,0,0.033864,1.352494,live,Magazines
MEbwc,MEbwc,Hillsong Channel,0.12150699999999999,0,0.12150699999999999,0.265181,9.598604,live,TV channels
MEbwp,MEbwp,HipTv,0.032976,0,0.032976,0.822851,50.567016,live,TV channels
MEbwq,MEbwq,Hit West,0,0,0,0.000926,0.09615399999999999,live,Radio stations
MEbwx,MEbwx,HLN,0,0,0,0.060201,1.2854079999999999,live,TV channels
MEbwo,MEbwo,Hollywood Unlocked,0.23088000000000003,0,0.23088000000000003,0.8965219999999999,12.199313,live,Online News
MEbwt,MEbwt,Home Shopping,0.097048,0,0.097048,0.288983,4.754884,live,TV channels
MEbw1,MEbw1,Homepolish,0,0,0,0.013392999999999999,0.6363639999999999,live,Magazines
MEbwu,MEbwu,HOT108JAMZ,0,0,0,0.022462,0.365535,live,Radio stations
MEbww,MEbww,i24NEWS,0,0,0,0.008926,0.20080299999999998,live,TV channels
MEbwi,MEbwi,Ideal World,0,0,0,0.014655999999999999,0.984796,live,TV channels
MEbws,MEbws,India TV,0,0,0,0.006901999999999999,0.238663,live,TV channels
MEbwz,MEbwz,Inshorts,0,0,0,0.004817,0.24953199999999998,live,Online News
MEbwa,MEbwa,Insider,0.521455,0,0.521455,0.762658,6.217071,live,Online News
MEbw3,MEbw3,Instant Bollywood,0.095625,0,0.095625,0.266661,8.17942,live,Online News
MEbw4,MEbw4,Interfax,0,0,0,0.000569,0.069204,live,Online News
MEbw5,MEbw5,Interior Design,0.936275,0,0.936275,1.858112,33.871866,live,Magazines
MEbwh,MEbwh,Interview,0.620413,0,0.620413,1.525795,29.482191,live,Magazines
MEbw7,MEbw7,Inverse,0.256191,0,0.256191,0.41146299999999997,3.319502,live,Online News
MEbw6,MEbw6,ILNA,0,0,0,0.000125,0.028893,live,Online News
MEbiy,MEbiy,IRNA News Agency,0,0,0,0.00037799999999999997,0.060716,live,Newspapers
MEbib,MEbib,Jango,0,0,0,0.006503,0.18292699999999998,live,Radio stations
MEbin,MEbin,Jerusalem,0,0,0,0.016007999999999998,0.40268499999999996,live,Online News
MEbid,MEbid,Jewish Telegraphic Agency,0,0,0,0.011687999999999999,0.313283,live,Online News
MEbir,MEbir,JJ,0,0,0,0.015502,1.270588,live,Magazines
MEbif,MEbif,J-one,0,0,0,0.002817,0.18797000000000003,live,TV channels
MEbig,MEbig,KABC-TV,0.085006,0,0.085006,0.223015,4.313929,live,TV channels
MEbi8,MEbi8,Kanal 7,0,0,0,0.034247,2.496329,live,TV channels
MEbie,MEbie,KATU,0,0,0,0.030515999999999998,0.678952,live,TV channels
MEbij,MEbij,KBCW,0,0,0,0.0006479999999999999,0.06830599999999999,live,TV channels
MEbik,MEbik,KCEN-TV,0,0,0,0.001596,0.092678,live,TV channels
MEbim,MEbim,KCTS-TV,0,0,0,0.017707,0.393314,live,TV channels
MEbic,MEbic,KDAF,0,0,0,0.007205,0.24945399999999998,live,TV channels
MEbip,MEbip,KDFW,0,0,0,0.092904,2.011061,live,TV channels
MEbiq,MEbiq,KDNL-TV,0,0,0,0.025188,0.520382,live,TV channels
MEbix,MEbix,KDRV,0,0,0,0.002558,0.11494299999999999,live,TV channels
MEbio,MEbio,KEPR-TV,0,0,0,0.002018,0.10055299999999999,live,TV channels
MEbi1,MEbi1,KEXP-FM,0.07288599999999999,0,0.07288599999999999,0.367095,9.427609,live,Radio stations
MEbiu,MEbiu,KEYE-TV,0,0,0,0.019925,0.597015,live,TV channels
MEbiw,MEbiw,KGO-TV,0.033326999999999996,0,0.033326999999999996,0.09826499999999999,2.050473,live,TV channels
MEbii,MEbii,KGW,0,0,0,0.040222,0.8014249999999999,live,TV channels
MEbis,MEbis,Khaama Press,0,0,0,0.000774,0.072727,live,Online News
MEbiz,MEbiz,KIMA-TV,0,0,0,0.001646,0.092166,live,TV channels
MEbia,MEbia,KING-TV,0.028690000000000004,0,0.028690000000000004,0.11247000000000001,1.9887009999999998,live,TV channels
MEbi3,MEbi3,KION-TV,0,0,0,0.002989,0.115674,live,TV channels
MEbi4,MEbi4,KIVI-TV,0,0,0,0.024190999999999997,0.578035,live,TV channels
MEbi5,MEbi5,KLEW-TV,0,0,0,0.00040199999999999996,0.067659,live,TV channels
MEbih,MEbih,KLTV,0,0,0,0.011850000000000001,0.302419,live,TV channels
MEbi7,MEbi7,KMBC-TV,0,0,0,0.024780000000000003,0.5397069999999999,live,TV channels
MEbi6,MEbi6,KMIZ,0,0,0,0.0022359999999999997,0.11895299999999999,live,TV channels
MEbi9,MEbi9,KMOX,0,0,0,0.011899,0.325027,live,Radio stations
MEbsy,MEbsy,KMTR,0,0,0,0.0021249999999999997,0.104603,live,TV channels
MEbsb,MEbsb,KMVT,0,0,0,0.001271,0.08646799999999999,live,TV channels
MEbsn,MEbsn,KMVU-DT,0,0,0,0.004304,0.15781199999999998,live,TV channels
MEbsd,MEbsd,KNKX,0,0,0,0.009547,0.323392,live,Radio stations
MEbsr,MEbsr,KOMU-TV,0,0,0,0.007078,0.213675,live,TV channels
MEbsf,MEbsf,KPIX-TV,0,0,0,0.026050999999999998,0.666191,live,TV channels
MEbsg,MEbsg,KRCG,0,0,0,0.004055,0.176367,live,TV channels
MEbs8,MEbs8,KREM,0,0,0,0.011030000000000002,0.280308,live,TV channels
MEbse,MEbse,KRON-TV,0,0,0,0.034156,0.858738,live,TV channels
MEbsj,MEbsj,KSBW,0,0,0,0.007936,0.198511,live,TV channels
MEbsk,MEbsk,KTHV,0,0,0,0.031564999999999996,0.567823,live,TV channels
MEbsm,MEbsm,KTVI,0,0,0,0.056937999999999996,0.8671329999999999,live,TV channels
MEbsc,MEbsc,KTVL,0,0,0,0.002459,0.106496,live,TV channels
MEbsp,MEbsp,KTVU,0,0,0,0.08161399999999999,2.014255,live,TV channels
MEbsq,MEbsq,KUSA,0,0,0,0.086877,1.336634,live,TV channels
MEbsx,MEbsx,KVAL-TV,0,0,0,0.004201,0.153022,live,TV channels
MEbso,MEbso,KVUE,0,0,0,0.035546999999999995,0.850385,live,TV channels
MEbst,MEbst,KWTV-DT,0,0,0,0.019961,0.530421,live,TV channels
MEbs1,MEbs1,KWTX-TV,0,0,0,0.007091999999999999,0.23612799999999998,live,TV channels
MEbsu,MEbsu,KXAS-TV,0,0,0,0.06762499999999999,1.686747,live,TV channels
MEbsw,MEbsw,La Tele Tuya,0,0,0,0.017467,1.25523,live,TV channels
MEbsi,MEbsi,La7,0,0,0,0.040806999999999996,2.210476,live,TV channels
MEbss,MEbss,laSexta,0,0,0,0.08143399999999999,4.147465,live,TV channels
MEbsz,MEbsz,Le Monde,0.119143,0,0.119143,0.388177,10.248042,live,Newspapers
MEbsa,MEbsa,Le Mouv,0,0,0,0.04367,2.618454,live,Radio stations
MEbs3,MEbs3,LBCI TV,0,0,0,0.039962,1.013514,live,TV channels
MEbs4,MEbs4,Leite's Culinaria,0,0,0,0.025071,0.972842,live,Blogs
MEbs5,MEbs5,Logo TV,0.15653499999999998,0,0.15653499999999998,0.370871,7.22744,live,TV channels
MEbsh,MEbsh,LLBN TV,0,0,0,0.000532,0.064516,live,TV channels
MEbs7,MEbs7,Los Angeles Eats,0.23690599999999998,0,0.23690599999999998,0.49785,10.274372,live,Blogs
MEbs6,MEbs6,LOS40,0.031191999999999998,0,0.031191999999999998,0.224402,9.224504,live,Radio stations
MEbs9,MEbs9,Lusa News Agency,0,0,0,0.014010000000000002,0.8608319999999999,live,Online News
MEbzy,MEbzy,Luxe Interiors + Design,0.30214,0,0.30214,0.988347,28.552005,live,Magazines
MEbzb,MEbzb,M6 Music,0,0,0,0.003077,0.301356,live,TV channels
MEbzn,MEbzn,Maker Studios,0,0,0,0.037319,0.746938,live,TV channels
MEbzd,MEbzd,Mantra Wellness,0.12364699999999999,0,0.12364699999999999,0.441775,9.965035,live,Magazines
MEbzr,MEbzr,MCM,0.209205,0,0.209205,0.44231499999999996,5.009276,live,TV channels
MEbzf,MEbzf,Medi1 Radio,0,0,0,0.004284,0.17513099999999998,live,Radio stations
MEbzg,MEbzg,Medi1 TV,0,0,0,0.006144999999999999,0.246002,live,TV channels
MEbz8,MEbz8,Mediacorp,0,0,0,0.12340899999999999,7.20363,live,TV channels
MEbze,MEbze,Mehr News Agency,0,0,0,0.0008259999999999999,0.082034,live,Online News
MEbzj,MEbzj,Men's Fashion Post,1.758128,0,1.758128,2.328795,14.325452,live,Magazines
MEbzk,MEbzk,Metro,0,0,0,0.088173,2.676112,live,Newspapers
MEbzm,MEbzm,Mirror Now,0,0,0,0.007486,0.390625,live,TV channels
MEbzc,MEbzc,MNCTV,0,0,0,0.296407,14.529915,live,TV channels
MEbzp,MEbzp,MNSWR,0.356946,0,0.356946,0.579799,6.234619,live,Magazines
MEbzq,MEbzq,Modern Architect,0.527125,0,0.527125,0.875226,16.468254,live,Magazines
MEbzx,MEbzx,Modern Salon,0.450474,0,0.450474,0.862659,18.341613,live,Magazines
MEbzo,MEbzo,MONO29,0,0,0,0.025515,2.386635,live,TV channels
MEbzt,MEbzt,Moscow 24,0,0,0,0.005186,0.151286,live,TV channels
MEbz1,MEbz1,Motor Trend,0.375706,0,0.375706,0.775853,17.109697,live,Magazines
MEbzu,MEbzu,My House Idea,0.654848,0,0.654848,1.043085,16.236386,live,Magazines
MEbzs,MEbzs,Nakid,0,0,0,0.048284,1.071155,live,Magazines
MEbzz,MEbzz,Natacha Polony,0,0,0,0.004859,0.30103199999999997,live,Online News
MEbza,MEbza,New England Cable News,0,0,0,0.016825,0.531469,live,TV channels
MEbz3,MEbz3,News 12 Long Island,0,0,0,0.065088,1.451613,live,TV channels
MEbz4,MEbz4,News 12 Networks,0,0,0,0.015028999999999999,0.34482799999999997,live,TV channels
MEbz5,MEbz5,News Nation,0,0,0,0.000958,0.08032099999999999,live,TV channels
MEbzh,MEbzh,News18 India,0,0,0,0.0038369999999999997,0.19685000000000002,live,TV channels
MEbz7,MEbz7,NewsNow,0,0,0,0.001491,0.09407299999999999,live,Online News
MEbz6,MEbz6,NFL Network,0.47029299999999996,0,0.47029299999999996,1.260213,29.952234,live,TV channels
MEbz9,MEbz9,NTA,0,0,0,0.049324,4.956268,live,TV channels
MEbab,MEbab,Nippon TV,0,0,0,0.000445,0.06313099999999999,live,TV channels
MEban,MEban,Non-no,0,0,0,0.024596,1.641767,live,Magazines
MEbad,MEbad,NRJ,0.037362,0,0.037362,0.150115,8.864266,live,Radio stations
MEbar,MEbar,NY1,0,0,0,0.080154,2.458472,live,TV channels
MEbaf,MEbaf,Nylon,0.880011,0,0.880011,1.74654,19.311103,live,Magazines
MEbag,MEbag,Ocean Pictures,0.290698,0,0.290698,0.47185699999999997,6.151164,live,Blogs
MEba8,MEba8,OKLM radio,0,0,0,0.07209399999999999,6.080708,live,Radio stations
MEbae,MEbae,Onda Cero,0,0,0,0.044468,2.973978,live,Radio stations
MEbaj,MEbaj,One 31,0,0,0,0.21090599999999998,19.5962,live,TV channels
MEbak,MEbak,One America News Network,0,0,0,0.059737,1.415487,live,TV channels
MEbam,MEbam,OOTD,0.943603,0,0.943603,1.4934129999999999,15.410479,live,Magazines
MEbac,MEbac,Orange is the New Black,1.706576,0,1.706576,2.50227,19.567138,live,TV channels
MEbap,MEbap,OrangeTV,0,0,0,0.004922,0.307062,live,TV channels
MEbaq,MEbaq,Oregon Explored,0.175747,0,0.175747,0.451916,8.913309,live,Blogs
MEbax,MEbax,Orient News,0,0,0,0.001715,0.135135,live,TV channels
MEbao,MEbao,OSN,0,0,0,0.043389,2.226233,live,TV channels
MEbat,MEbat,Oui FM,0,0,0,0.010076,0.510493,live,Radio stations
MEba1,MEba1,Our Planet Daily,0,0,0,0.002244,0.1,live,Blogs
MEbau,MEbau,Out,0.212232,0,0.212232,0.533312,12.408759,live,Magazines
MEbaw,MEbaw,Outdoor Channel,0.049322,0,0.049322,0.42629799999999995,27.581475,live,TV channels
MEbai,MEbai,Ozy,0,0,0,0.06899899999999999,1.060606,live,Magazines
MEbas,MEbas,Pajhwok Afghan News,0,0,0,0.002212,0.0998,live,TV channels
MEbaz,MEbaz,Pakapaka,0,0,0,0.0043289999999999995,0.338983,live,TV channels
MEbaa,MEbaa,Paperboyo,0.104058,0,0.104058,0.27757699999999996,3.475936,live,Blogs
MEba3,MEba3,Paramount Network,0.106553,0,0.106553,0.21858899999999998,2.751629,live,TV channels
MEba4,MEba4,Patriot Corner,0,0,0,0.016321,0.531915,live,Magazines
MEba5,MEba5,People's Television Network,0.037731,0,0.037731,0.089113,1.496546,live,TV channels
MEbah,MEbah,Perez Hilton,0.48153399999999996,0,0.48153399999999996,1.088462,12.769418,live,Blogs
MEba6,MEba6,PJ Media,0,0,0,0.011613,0.324675,live,Blogs
MEba9,MEba9,Planet TV,0,0,0,0.003671,0.17793599999999998,live,TV channels
